CC_ID,ENGLISH,GAEILGE,CONTAE,COUNTY,PROVINCE,GUID,CENTROID_X,CENTROID_Y,AREA,OBJECTID,Shape__Area,Shape__Length
265011,DUBLIN CITY COUNCIL,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1433-13a3-e055-000000000001,716469.75,735272.06,128350164.36,1,128374254.347412,99214.0191098122
45511,CORK CITY COUNCIL,,Corcaigh,CORK,Munster,2ae19629-1434-13a3-e055-000000000001,565833.13,571933.83,186597605.51,2,186603830.450653,78905.1188713112
65011,GALWAY CITY COUNCIL,,Gaillimh,GALWAY,Connacht,2ae19629-1435-13a3-e055-000000000001,530067.66,726500.52,50695047.2,3,50729959.9775696,60822.1375294401
185001,OFFALY COUNTY COUNCIL,,Uíbh Fhailí,OFFALY,Leinster,2ae19629-1496-13a3-e055-000000000001,631261.72,709672.35,2000024664.09,4,1999998479.41876,383338.280618513
255001,WICKLOW COUNTY COUNCIL,,Cill Mhantáin,WICKLOW,Leinster,2ae19629-149e-13a3-e055-000000000001,707784.79,690738.1,2025160941.77,5,2025249886.8017,309080.263427012
215003,TIPPERARY COUNTY COUNCIL,,Tiobraid Árann,TIPPERARY,Munster,2ae19629-1499-13a3-e055-000000000001,605191.54,659297.87,4303395908.87,6,4303464828.33987,507117.652072839
175001,MONAGHAN COUNTY COUNCIL,,Muineachán,MONAGHAN,Ulster,2ae19629-1495-13a3-e055-000000000001,669110.41,824170.57,1294164120.67,7,1294144983.39423,293368.792915309
205001,SLIGO COUNTY COUNCIL,,Sligeach,SLIGO,Connacht,2ae19629-1498-13a3-e055-000000000001,557897.46,827219.69,1836083206.41,8,1836071780.40952,496424.625131467
245001,WEXFORD COUNTY COUNCIL,,Loch Garman,WEXFORD,Leinster,2ae19629-149c-13a3-e055-000000000001,696261.93,634655.15,2369842342.57,9,2369967707.11414,409470.917595817
265003,SOUTH DUBLIN COUNTY COUNCIL,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-14a1-13a3-e055-000000000001,706125.25,725999.51,223448221.59,10,223430146.498352,91827.9783137022
265002,FINGAL COUNTY COUNCIL,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-14a0-13a3-e055-000000000001,717228.52,750698.66,457879166.21,11,457968241.971405,233777.625349717
35001,CLARE COUNTY COUNCIL,,An Clár,CLARE,Munster,2ae19629-14a2-13a3-e055-000000000001,524790.2,680078.02,3443369712.56,12,3443461171.48645,508649.0062494
55001,DONEGAL COUNTY COUNCIL,,Dún na nGall,DONEGAL,Ulster,2ae19629-14a4-13a3-e055-000000000001,607296.31,911848.45,4856716773.99,13,4856100616.47104,1674704.62472427
